"","plz","note","subregion_ID"
"1","52538","52538 Gangelt, Selfkant",41
"2","47559","47559 Kranenburg",41
"3","52525","52525 Waldfeucht, Heinsberg",41
"4","52074","52074 Aachen",41
"5","52531","52531 Ãbach-Palenberg",41
"6","52511","52511 Geilenkirchen",41
"7","52072","52072 Aachen",41
"8","47574","47574 Goch",41
"9","47533","47533 Kleve",41
"10","52134","52134 Herzogenrath",41
"11","52076","52076 Aachen",41
"12","52064","52064 Aachen",41
"13","41372","41372 NiederkrÃ¼chten",41
"14","52070","52070 Aachen",41
"15","52066","52066 Aachen",41
"16","41379","41379 BrÃ¼ggen",41
"17","52062","52062 Aachen",41
"18","41849","41849 Wassenberg",41
"19","52146","52146 WÃ¼rselen",41
"20","47652","47652 Weeze",41
"21","52068","52068 Aachen",41
"22","46446","46446 Emmerich am Rhein",41
"23","52080","52080 Aachen",41
"24","54689","54689 Daleiden, Preischeid u.a.",102
"25","47551","47551 Bedburg-Hau",41
"26","52078","52078 Aachen",41
"27","52477","52477 Alsdorf",41
"28","54617","54617 LÃ¼tzkampen",102
"29","41844","41844 Wegberg",41
"30","52499","52499 Baesweiler",41
"31","41836","41836 HÃ¼ckelhoven",41
"32","54673","54673 Neuerburg u.a.",101
"33","54673","54673 Neuerburg u.a.",102
"34","41334","41334 Nettetal",41
"35","54619","54619 Ãttfeld",102
"36","47624","47624 Kevelaer-Twisteden",41
"37","52159","52159 Roetgen",41
"38","54616","54616 Winterspelt",102
"39","52156","52156 Monschau",41
"40","52222","52222 Stolberg (Rhld.)",41
"41","52223","52223 Stolberg (Rhld.)",41
"42","52249","52249 Eschweiler",41
"43","47623","47623 Kevelaer-Mitte",41
"44","52441","52441 Linnich",41
"45","52457","52457 Aldenhoven",41
"46","47608","47608 Geldern",41
"47","41812","41812 Erkelenz",41
"48","52224","52224 Stolberg",41
"49","47638","47638 Straelen",41
"50","41366","41366 Schwalmtal",41
"51","47589","47589 Uedem",41
"52","54608","54608 Bleialf",102
"53","54675","54675 KÃ¶rperich u.a.",101
"54","54675","54675 KÃ¶rperich u.a.",102
"55","47546","47546 Kalkar",41
